1 | Bill Gates   | 第四 | 100 | http://www.baidu.com
2 | dcfd         | 第一 | 500 | http://www.jd.com
3 | df           | 第二 | 490 | http://www.dangdang.com
4 | aaBill Gates | 第三 | 300 | http://www.baidu.com
5 | aaBill Gates | 第三 | 300 | http://www.baidu.com
6 | aaBill Gates | 第三 | 300 | http://www.baidu.com
7 | aaBill Gates | 第三 | 300 | http://www.baidu.com
8 | aaBill Gates | 第三 | 300 | http://www.baidu.com
9 | aaBill Gates | 第三 | 300 | http://www.baidu.com
10 | aaBill Gates | 第三 | 300 | http://www.baidu.com
11 | aaBill Gates | 第三 | 300 | http://www.baidu.com


